datetime,MAC000028,MAC000041,MAC000058,MAC000089,MAC000095,MAC000126,MAC000143,MAC000144,MAC000148,MAC000172,MAC000176,MAC000182,MAC000200,MAC000240,MAC000258,MAC000268,MAC004457,MAC004490,MAC004496,MAC004521,MAC004528,MAC004540,MAC004550,MAC004553,MAC004862,MAC004874,MAC004918,MAC004998,MAC005000,MAC005016,MAC005024,MAC005025,MAC005193,MAC005227,MAC005229,MAC005257,MAC005261,MAC005268,MAC005270,MAC005273
2012-02-11 14:01:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:02:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:03:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:04:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:05:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:06:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:07:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:08:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:09:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:10:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:11:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:12:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:13:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:14:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:15:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:16:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:17:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:18:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:19:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:20:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:21:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:22:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:23:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:24:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
2012-02-11 14:25:00,0.224,0.362,0.376,0.716,0.388,0.138,0.168,0.872,0.598,0.13,0.202,0.228,0.026,0.162,0.316,0.114,0.136,0.198,0.032,0.086,0.442,1.56,1.37,0.262,0.356,0.272,0.468,0.618,0.184,0.182,0.354,0.212,0.666,0.124,0.382,0.372,0.256,0.232,0.212,0.012
